address,chain,cluster,role,evidence_class,distribution_action,source,notes
juno1h5ex5dn62arjwvwkh88r475dap8qppmmec4sgxzmtdn5tnmke3lqwpplgg,juno,posthuman_das,POSTHUMAN DAS contract,common_context,do_not_use_as_attacker_evidence_alone,operator_telegram_2026-06-18,"DAO DAO / DAS context contract; interactions through this address are common governance/staking context, not attacker evidence by themselves."
juno1eltl6qu6y538vhux3mk3pjpn7redx8najm4u3e,juno,olim_eltl,Olim address,manual_review,do_not_auto_exclude,operator_telegram_2026-06-18,"Operator-provided Olim address; requires historical interaction review before any distribution decision; duplicate input collapsed to one row."
CjHc2hJUxHmYrg9wTttkCekMgQCCa3L3Mhgq8dbrDNPb,solana,olim_eltl,Olim address,manual_review,not_in_phmn_snapshot,operator_telegram_2026-06-18,"Operator-provided Solana address; use only for cross-chain route context."
cosmos187jy6cderlfwwttds33e6cdzntx0z0gh9qrhee,cosmoshub,olim_187,Olim address,manual_review,do_not_auto_exclude,operator_telegram_2026-06-18,"Operator-provided 187 cluster address."
osmo187jy6cderlfwwttds33e6cdzntx0z0ghdms80t,osmosis,olim_187,Olim address,manual_review,do_not_auto_exclude,operator_telegram_2026-06-18,"Operator-provided 187 cluster address."
juno187jy6cderlfwwttds33e6cdzntx0z0ghnjqv79,juno,olim_187,Olim address,manual_review,do_not_auto_exclude,operator_telegram_2026-06-18,"Operator-provided 187 cluster address; duplicate input collapsed to one row."
dym1cw3474xsjkxxgh54sden3uw00emgxhnfta5mdm,dymension,olim_cw347,Olim address,manual_review,not_in_phmn_snapshot,operator_telegram_2026-06-18,"Operator-provided non-Juno address; use for cross-chain context."
inj1cw3474xsjkxxgh54sden3uw00emgxhnfnf0e6d,injective,olim_cw347,Olim address,manual_review,not_in_phmn_snapshot,operator_telegram_2026-06-18,"Operator-provided non-Juno address; use for cross-chain context."
persistence187jy6cderlfwwttds33e6cdzntx0z0ghtv9yha,persistence,olim_187,Olim address,manual_review,not_in_phmn_snapshot,operator_telegram_2026-06-18,"Operator-provided 187 cluster address on Persistence."
secret1f68m5x8qkyn4wrj3kh452xw2lvupcrfn555tjp,secret,olim_f68,Olim address,manual_review,not_in_phmn_snapshot,operator_telegram_2026-06-18,"Operator-provided non-Juno address; use for cross-chain context."
firma1mnfft4zlzr7ueuc5gqtk7hn5vzjhav808xg3zq,firmachain,olim_mnfft,Olim address,manual_review,not_in_phmn_snapshot,operator_telegram_2026-06-18,"Operator-provided non-Juno address; use for cross-chain context."
dym1js02wq4u96wkrsqlgz8ltptf2nhyq2e0zx6u9k,dymension,olim_js02,Olim address,manual_review,not_in_phmn_snapshot,operator_telegram_2026-06-18,"Operator-provided non-Juno address; use for cross-chain context."
inj1js02wq4u96wkrsqlgz8ltptf2nhyq2e06jp7jq,injective,olim_js02,Olim address,manual_review,not_in_phmn_snapshot,operator_telegram_2026-06-18,"Operator-provided non-Juno address; use for cross-chain context."
persistence1eltl6qu6y538vhux3mk3pjpn7redx8na29s5cp,persistence,olim_eltl,Olim address,manual_review,not_in_phmn_snapshot,operator_telegram_2026-06-18,"Operator-provided Eltl cluster address on Persistence."
secret1qa5z60zrl9vrqv4xupsf5xpzpupkt0dctx2zx9,secret,olim_qa5,Olim address,manual_review,not_in_phmn_snapshot,operator_telegram_2026-06-18,"Operator-provided non-Juno address; use for cross-chain context."
firma16ts5n6ymv0ckpup6qcqlsuhhvle07acqk50hhp,firmachain,olim_16ts,Olim address,manual_review,not_in_phmn_snapshot,operator_telegram_2026-06-18,"Operator-provided non-Juno address; use for cross-chain context."
